,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
262,Martín Aguirregabiria,Deportivo Alaves,27," D(LR),M(R)",17(7),1619,-,1,4,-,0.2,68.4,1.3,-,6.42
263,Cristian Tello,Real Betis,32, M(LR),5(18),807,2,2,2,-,1.3,78.1,0.2,-,6.42
264,Igor Zubeldia,Real Sociedad,27," D(C),DMC",19(7),1649,-,1,7,-,0.3,87.6,1.6,-,6.41
265,Marcos André,Valencia,27, FW,8(21),963,1,3,3,-,1,68.2,1.4,-,6.41
266,Keidi Bare,Espanyol,26, DMC,18(7),1488,1,1,9,-,0.2,86.9,0.5,-,6.41
267,Moi Gómez,Villarreal,29, M(CLR),13(16),1280,2,2,2,-,0.4,82.8,0.4,-,6.41
268,Lee Kang-In,Mallorca,23," M(CLR),FW",15(15),1411,1,2,1,1,1.2,77.8,0.5,-,6.41
269,Thiago Galhardo,Celta Vigo,34," AM(CLR),FW",9(22),1135,2,2,5,-,1,63.8,1.5,-,6.40
270,Víctor Díaz,Granada,35, D(CLR),19(4),1506,1,-,5,-,0.6,74.8,1.3,-,6.40
271,Joseba Zaldúa,Real Sociedad,31, D(R),14(10),1173,-,-,6,-,0.3,79.1,0.8,-,6.40
272,Randy Nteka,Rayo Vallecano,26," AM(C),FW",16(18),1462,3,-,3,-,0.9,67.3,1.8,1,6.40
273,Ludwig Augustinsson,Sevilla,30," D(L),M(L)",9(10),790,-,1,3,-,0.2,84.8,0.8,-,6.40
274,Nemanja Radoja,Levante,31, DMC,17(2),1224,-,-,3,-,0.3,84.1,0.9,-,6.40
275,Yunus Musah,Valencia,21, M(CR),13(16),1262,1,-,5,-,0.2,77.4,0.6,-,6.40
276,Andrés Guardado,Real Betis,37," D(L),M(CL)",17(11),1394,-,1,4,-,0.5,84.8,0.4,-,6.40
277,Uros Racic,Valencia,26, DMC,13(15),1201,-,-,1,1,0.6,73.5,1.2,-,6.40
278,Rober Pier,Levante,29," D(C),DMC",21(6),2009,1,-,3,1,0.3,79.9,1,-,6.40
279,Florentino,Getafe,24, DMC,9(13),986,-,1,2,-,0.1,78.9,0.8,-,6.40
280,Guido Carrillo,Elche,32, FW,11(18),1157,2,-,3,-,0.8,70.2,2.9,-,6.39
281,Darko Brasanac,Osasuna,32, M(CR),27(8),2412,1,2,9,-,0.5,76.4,0.9,-,6.39
282,Aleix Vidal,Espanyol,34," D(R),M(LR)",21(10),1908,2,-,10,-,0.2,82.7,0.3,-,6.39
283,Joaquín,Real Betis,42," M(CLR),FW",2(19),455,-,1,-,-,0.5,85,0.1,-,6.39
284,Son,Levante,30, D(LR),22(4),1979,1,-,5,1,0.5,73.2,0.4,-,6.39
285,Fer Niño,Mallorca,23, FW,9(14),879,2,-,2,-,1,67.9,2,1,6.39
286,Ángel Rodríguez,Mallorca,37, FW,19(10),1551,4,2,4,-,1,73.3,0.7,-,6.37
287,Óscar Melendo,Espanyol,26," AM(CLR),FW",14(7),999,-,-,-,-,0.4,91.1,0.3,-,6.37
288,Mickaël Malsa,Levante,28, DMC,11(15),1137,1,2,7,-,0.5,80.7,0.4,-,6.37
289,Bebé,Rayo Vallecano,33," AM(LR),FW",6(23),852,1,2,2,-,1.7,76.7,0.3,-,6.37
290,Nico Williams,Athletic Club,21, AM(LR),11(23),1330,-,-,4,-,1,78.1,0.3,-,6.36
291,Toni Moya,Deportivo Alaves,26, DMC,17(11),1386,-,1,2,-,0.4,75,0.4,1,6.36
292,Diego González,Elche,29, D(CL),19(9),1790,-,-,3,1,0.1,82.7,1,-,6.36
293,Jan Oblak,Atletico,31, GK,38,3420,-,-,1,-,-,51.9,0.2,-,6.35
294,Franco Russo,Mallorca,29, D(C),17(2),1465,1,-,3,2,0.3,76.4,1.5,1,6.35
295,Hélder Costa,Valencia,30, AM(CLR),13(9),1119,-,1,3,-,0.4,70.8,0.4,-,6.34
296,Jeison Murillo,Celta Vigo,31, D(C),13(7),1118,-,-,5,1,0.3,89.2,1.6,-,6.34
297,Dani Gómez,Levante,25, FW,11(17),1060,4,2,1,-,1.1,80.9,0.1,-,6.33
298,Rodrigo Battaglia,Mallorca,32, M(C),12(14),1176,-,-,3,1,0.2,83.7,1.3,-,6.33
299,Unai López,Rayo Vallecano,28, M(CR),13(14),1155,-,-,5,-,0.7,86.4,0.3,1,6.32
300,Mikel Vesga,Athletic Club,31, DMC,17(15),1357,2,-,3,2,0.4,77.7,1.3,-,6.32
301,Javi Martínez,Osasuna,24, M(CR),9(17),870,1,1,1,-,0.3,77.8,0.4,-,6.31
302,Raúl Guti,Elche,27, DMC,17(14),1629,-,-,2,1,0.6,84.3,0.4,-,6.31
