,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
241,Fernando Llorente,0.2,0.1,0.6,-,0.5,0.1,0.1,1
242,Max Meyer,1.1,0.5,0.3,-,0.6,0.3,-,-
243,Luciano Vietto,0.8,0.3,0.7,-,0.3,0.8,-,-
244,Ademola Lookman,0.7,0.3,0.4,-,0.1,0.1,-,-
245,Junior Hoilett,1.3,1,1.1,-,0.8,1.2,-,-
246,Rui Patrício,0.1,-,-,-,0.4,-,-,-
247,Joe Ralls,1.6,1,1,-,1,0.8,0.2,-
248,Conor Coady,0.8,0.8,0.3,0.5,3.3,0.4,0.7,3
249,Charlie Daniels,1.2,1,0.3,0.3,2,0.4,0.2,-
250,Pedro Obiang,1.7,0.5,0.5,0.1,0.6,1,0.4,-
251,Christian Atsu,0.9,0.3,0.5,-,0.5,0.4,0.1,-
252,Cenk Tosun,0.5,0.2,0.7,-,0.1,0.4,-,-
253,Olivier Giroud,0.1,0.1,0.4,-,0.2,0.1,-,-
254,Ryan Sessegnon,0.6,0.5,0.6,0.2,1.1,0.5,0.1,-
255,Mathew Ryan,-,-,-,-,0.6,-,-,-
256,Bobby De Cordova-Reid,0.6,0.1,0.2,-,0.4,0.2,-,-
257,Florent Hadërgjonaj,1.3,0.9,0.5,0.3,1.1,1,0.3,-
258,Junior Stanislas,0.5,0.1,0.3,-,0.7,0.2,-,-
259,Harry Arter,2.5,0.8,1,-,0.8,1.2,0.2,-
260,Nampalys Mendy,1.1,0.8,0.7,-,0.7,0.5,0.3,-
261,Hélder Costa,0.7,0.4,0.8,-,0.2,0.6,-,-
262,Andre Gray,0.1,0.1,0.4,-,0.1,0.2,-,-
263,Chris Löwe,1.2,0.8,0.5,0.1,1.8,0.7,0.1,-
264,Ivan Cavaleiro,0.2,0.2,0.6,-,0.2,0.6,-,-
265,Erik Durm,1.3,1.5,0.5,0.3,1.3,0.7,0.2,-
266,Isaac Success,0.5,0.1,0.8,-,0.4,0.1,-,-
267,Gaëtan Bong,0.7,1.1,0.5,0.2,2,0.2,0.3,-
268,Tim Ream,0.9,1,0.5,0.6,3,0.5,0.4,-
269,Jürgen Locadia,0.6,0.3,0.8,-,0.3,0.2,-,-
270,Jeff Hendrick,0.8,0.4,0.5,-,0.8,0.7,0.2,-
271,Charlie Austin,0.5,0.1,0.6,-,0.5,0.2,0.1,-
272,Asmir Begovic,-,-,-,-,0.8,0.1,-,-
273,Florin Andone,0.4,0.1,1.2,-,0.5,0.2,-,-
274,Kelechi Iheanacho,0.2,0.1,0.5,-,0.1,0.1,-,-
275,Laurent Depoitre,0.3,0.1,0.8,-,0.3,0.1,-,-
276,Morgan Gibbs-White,0.2,-,0.3,-,-,0.1,-,-
277,Elias Kachunga,1.1,0.2,1.2,-,0.5,0.8,0.1,-
278,Isaac Mbenza,0.5,0.2,0.4,-,0.2,0.1,-,-
279,Lys Mousset,0.1,-,0.3,-,0.1,0.1,-,-
280,Shinji Okazaki,0.2,0.1,0.3,-,-,-,-,-
