,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
57,Lucas Moura,Tottenham,31," AM(CLR),FW",25(10),2249,4,4,3,-,1.6,73.5,1.7,2,6.96,1.6,0.4,0.9,-,0.7,1.2,0.1,-,2.1,1.8,0.1,2.1,2.1,22.1,73.5,0.1,0.3,0.1
58,Ben Chilwell,Leicester,27," D(L),M(L)",27,2376,3,3,3,-,0.6,78.3,2.1,1,6.96,1.6,1,1.1,0.2,2,1.1,0.2,-,0.7,1.1,-,0.8,0.8,61.3,78.3,0.7,2,-
59,Nathan Redmond,Southampton,30," AM(CLR),FW",32,2771,4,4,2,-,1.8,73.7,0.6,2,6.96,1.5,0.5,0.7,-,0.3,1.1,0.1,-,2.5,1,0.2,1.6,1.6,31.9,73.7,0.2,1.2,-
60,Felipe Anderson,West Ham,31," M(CLR),FW",20(5),1508,1,4,1,-,0.9,78.8,0.2,1,6.96,1.8,0.9,0.7,-,0.4,1.4,-,-,2.5,1,0.1,1.2,1.2,35.8,78.8,0.4,1.7,0.1
61,Mateo Kovacic,Chelsea,29, M(CL),23(8),2073,1,3,8,-,0.7,89.7,0.3,1,6.94,2,0.7,0.6,-,0.5,1.3,-,-,2.5,1.2,-,0.9,0.9,60.3,89.7,-,3,0.1
62,John Egan,Sheff Utd,31, D(C),36,3189,2,-,3,1,0.8,80.2,3.8,1,6.93,1.2,1.6,0.9,0.4,4.6,0.6,0.8,-,-,0.6,-,-,-,35.8,80.2,-,3.1,-
63,Jack O'Connell,Sheff Utd,30, D(C),32(1),2915,-,1,4,-,0.4,73.5,4.1,1,6.93,0.7,1.3,0.6,0.4,4.4,0.3,0.5,-,0.3,0.5,0.1,0.3,0.3,47.2,73.5,0.3,3.8,-
64,Jordan Ayew,Crystal Palace,32," AM(CLR),FW",37,3162,9,2,6,-,1.6,81.3,2.2,4,6.93,1.3,0.4,1.6,-,0.5,0.9,0.1,-,2,2.8,0.2,2.6,2.6,22.0,81.3,-,0.5,0.1
65,Alexandre Lacazette,Arsenal,32," M(CLR),FW",22(8),1878,10,4,8,-,1.7,76.4,1,2,6.92,1,0.2,1.5,-,0.5,0.5,-,-,0.8,1.5,0.4,1.2,1.2,16.8,76.4,0.2,0.4,-
66,Djibril Sidibé,Everton,31," D(CLR),M(R)",18(7),1852,-,4,3,-,0.5,78.6,1.2,1,6.92,3.3,1.6,1,0.1,1.3,1.2,0.1,-,0.6,0.8,0.1,0.5,0.5,37.9,78.6,0.7,2.2,-
67,Scott McTominay,Man Utd,27," D(C),M(C)",20(7),1772,4,1,2,-,1.1,80.9,1.6,2,6.92,1.6,1.1,1.3,-,1.2,0.6,0.2,-,1.1,2,-,1.1,1.1,37.4,80.9,0.1,2.3,0.1
68,Phil Bardsley,Burnley,38," D(LR),M(R)",21,1890,-,1,6,-,0.5,66.1,1.8,-,6.92,2.3,1.4,1.7,0.1,3.1,0.6,0.5,-,0.2,0.6,-,0.1,0.1,31.3,66.1,0.3,2.3,0.1
69,Mason Mount,Chelsea,25, M(CLR),32(5),2875,7,5,3,-,2.1,85.7,0.3,2,6.91,1,0.4,1,-,0.5,0.9,0.1,-,1.1,1,0.1,1.4,1.4,33.5,85.7,0.9,0.7,0.1
70,Kurt Zouma,Chelsea,29, D(CR),25(3),2344,-,-,6,-,0.5,88.5,3.8,1,6.91,0.8,2.1,1.1,0.4,4,0.3,0.5,1,0.3,0.5,-,0.2,0.2,74.3,88.5,-,5,-
71,Étienne Capoue,Watford,35," D(C),M(CL)",30,2632,-,3,8,-,0.6,81.3,1.6,1,6.91,2.5,2.3,1.9,-,1.9,1.6,0.4,-,0.8,1.3,-,0.9,0.9,47.8,81.3,0.3,3.7,0.1
72,Tammy Abraham,Chelsea,26, FW,25(9),2221,15,3,2,-,2.6,66.8,2.6,4,6.91,0.2,0.2,0.5,-,0.8,0.3,0.1,1,0.5,0.7,0.7,1.2,1.2,12.0,66.8,0.1,0.2,-
73,Kyle Walker,Man City,33," D(CR),M(R)",28(1),2398,1,4,5,-,0.5,88.6,1,-,6.9,1,1,0.9,0.2,1.2,0.6,0.2,-,0.8,0.5,0.1,0.5,0.5,66.9,88.6,0.3,4.3,-
74,Reece James,Chelsea,24," D(CR),DMC,M(R)",16(8),1514,-,2,1,-,0.8,85.9,1.5,1,6.9,1.5,0.9,0.9,0.1,0.9,0.8,0.3,-,1.3,0.9,-,0.9,0.9,42.3,85.9,1.1,1.7,-
75,Jonny Evans,Leicester,36, D(CL),38,3386,1,1,8,1,0.6,86.8,3.3,-,6.9,1.3,1.5,0.9,0.4,4.5,0.3,0.5,1,0.2,0.7,0.1,0.1,0.1,65.6,86.8,-,3.1,-
76,N'Golo Kanté,Chelsea,33, M(C),20(2),1733,3,-,4,-,0.8,84.9,0.9,-,6.9,2,2,2,-,1.4,0.9,0.2,-,1.1,0.5,-,1.3,1.3,51.5,84.9,0.5,1.8,-
77,Gerard Deulofeu,Watford,30," AM(CLR),FW",25(3),2109,4,5,3,-,2.3,80.2,-,3,6.9,1.2,0.9,1,-,0.2,1.7,-,-,2.2,0.8,0.6,1.9,1.9,25.8,80.2,0.5,0.8,-
