,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
253,Javi Hernández,2783,Girona,25,D,25,1117,2,0.3,26.0,82.1,0.2,0.8,0.0,6.45,1,3,0,0.6,0.4,0,0.4,0.8,0.0,0.3,0.3,0.8,0.3,0.4,0.2,1.4,0.3,0.2,0
254,Fernando Calero,70,Espanyol,27,D,27,1618,1,0.1,26.6,81.8,0.0,1.9,0.0,6.45,0,6,0,0.3,1.3,0,0.0,0.3,0.0,0.2,0.4,1.7,0.5,0.8,0.3,1.9,0.5,0.5,0
256,Fali,1354,Cadiz,29,D,25,1722,0,0.2,23.6,77.1,0.0,3.2,0.1,6.44,0,6,0,0.4,1.1,0,0.1,0.7,0.0,0.0,0.3,1.1,0.5,0.6,0.1,2.7,0.4,0.6,0
258,Kiko Femenía,839,Villarreal,32,D,20,1137,0,0.5,32.4,89.5,0.2,0.8,0.0,6.44,0,0,0,0.1,0.5,0,0.3,0.4,0.0,0.5,0.4,0.9,1.0,0.3,0.4,1.1,0.3,0.3,0
259,Jon Moncayola,131,Osasuna,25,D,37,2445,3,0.7,35.5,81.6,0.4,3.3,0.1,6.44,1,6,0,1.0,0.5,0,0.1,0.5,0.1,0.3,0.7,1.5,0.5,0.9,0.0,0.8,1.2,0.1,0
261,Dani Carvajal,52,Real Madrid,31,D,27,1788,2,0.8,42.6,87.1,0.3,1.9,0.0,6.44,0,6,1,0.4,0.4,0,0.3,0.6,0.2,0.3,0.9,1.2,0.6,0.8,0.2,1.5,0.6,0.2,0
262,Iván Balliu,64,Rayo Vallecano,31,D,37,3237,0,0.9,35.8,79.8,0.6,1.4,0.0,6.44,0,6,0,0.2,0.8,0,0.3,0.9,0.2,0.2,0.6,1.4,0.7,1.1,0.4,1.8,0.3,0.1,2
263,Gabriel Paulista,55,Valencia,32,D,21,1508,0,0.2,36.2,84.1,0.0,2.6,0.0,6.43,1,2,2,0.7,2.0,0,0.0,0.5,0.0,0.0,0.2,0.8,1.5,0.6,0.5,3.7,0.3,0.7,0
265,Josan,833,Elche,33,D,26,1070,3,0.6,15.8,84.7,0.4,0.6,0.0,6.43,1,3,0,0.2,0.2,0,0.8,0.7,0.2,0.8,1.0,1.0,0.3,0.4,0.1,0.5,0.5,0.0,0
266,Sergi Gómez,70,Espanyol,31,D,29,2343,0,0.2,38.6,86.0,0.0,2.9,0.0,6.43,0,0,2,0.3,1.5,0,0.0,0.3,0.0,0.0,0.2,1.0,0.9,0.3,0.7,4.1,0.1,0.7,0
267,Alberto Moreno,839,Villarreal,30,D,24,1298,1,0.5,25.1,85.4,0.4,0.7,0.0,6.43,0,7,0,0.6,0.5,0,0.3,0.4,0.1,0.3,0.7,1.0,1.0,1.1,0.1,1.0,0.5,0.0,0
271,Sergio Akieme,1799,Almeria,25,D,29,2300,0,0.7,26.9,80.6,0.7,1.2,0.0,6.42,1,5,0,0.8,0.5,1,0.9,0.6,0.0,0.9,1.0,0.9,0.5,0.7,0.5,1.3,0.3,0.2,0
