,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
137,Rubén Alcaraz,Real Valladolid,33,DM,27,1926,2,2,10,0,1.2,79.4,1.9,2,6.85,2.3,0.6,1.4,0.0,1.5,1.2,0.6,0,0.9,2.1,0.0,0.6,0.6,38.3,79.4,0.3,4.4,0.0,0.27419354838709675
138,Fede San Emeterio,Real Valladolid,27,DM,25,1754,0,0,4,0,0.1,80.1,1.3,0,6.34,1.0,1.1,1.3,0.1,0.5,0.9,0.3,0,0.1,1.0,0.0,0.2,0.2,27.2,80.1,0.0,1.9,0.0,0.27419354838709675
139,Mauro Arambarri,Getafe,28,DM,35,3072,1,1,9,1,1.3,67.9,2.1,0,6.73,2.1,1.2,2.3,0.1,0.9,1.1,0.1,0,0.9,1.8,0.0,1.0,1.0,25.6,67.9,0.4,2.5,0.0,0.46774193548387094
140,Roque Mesa,Leganes,34,DM,29,2018,1,3,11,0,0.9,84.2,0.4,0,6.59,1.4,0.4,1.2,0.0,0.1,1.1,0.1,0,1.4,1.8,0.0,1.1,1.1,28.3,84.2,0.5,1.7,0.0,0.1774193548387097
141,Sergio Busquets,Barcelona,35,DM,36,2530,0,5,9,0,0.1,91.3,1.1,0,6.88,1.8,1.5,1.3,0.0,0.5,1.4,0.1,0,0.2,1.7,0.0,0.3,0.3,74.5,91.3,0.0,3.0,0.2,0.875
142,Fran Beltrán,Celta Vigo,25,DM,32,1392,3,0,3,0,0.6,90.6,0.1,0,6.37,0.9,0.5,0.5,0.0,0.7,0.5,0.0,0,0.3,0.3,0.0,0.4,0.4,23.9,90.6,0.1,1.3,0.0,0.4107142857142857
143,Lucas Torreira,Atletico Madrid,28,DM,19,507,1,0,2,0,0.2,87.2,0.2,0,6.3,0.4,0.6,0.5,0.0,0.4,0.2,0.2,0,0.1,0.7,0.1,0.2,0.2,16.4,87.2,0.0,0.5,0.0,1.0
144,Martín Zubimendi,Real Sociedad,25,DM,31,1873,0,0,6,0,0.2,88.4,1.5,0,6.62,1.3,1.3,1.2,0.0,1.2,0.5,0.3,0,0.4,0.5,0.0,0.3,0.3,35.8,88.4,0.0,2.1,0.0,0.5714285714285714
145,Ander Guevara,Real Sociedad,26,DM,31,2088,1,1,5,0,0.3,82.8,0.8,1,6.51,1.1,0.8,1.0,0.0,1.1,0.5,0.2,0,0.5,0.5,0.0,0.7,0.7,45.6,82.8,0.0,2.7,0.0,0.5714285714285714
146,Manu García,Deportivo Alaves,38,DM,26,1115,0,0,7,1,0.4,69.5,1.6,0,6.24,0.9,0.5,0.7,0.0,0.8,1.0,0.0,0,0.2,1.0,0.0,0.3,0.3,15.4,69.5,0.0,0.7,0.0,0.14285714285714285
