,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
269,Gonçalo Paciência,Celta Vigo,29,FW,25,650,2,0,2,1,1.2,59.4,1.2,1,6.23,0.3,0.0,0.8,0.0,0.2,0.2,0.0,0,0.2,0.7,0.0,0.6,0.6,6.4,59.4,0.1,0.4,0.0,0.2857142857142857
270,Youssef En-Nesyri,Sevilla,26,FW,31,1660,8,1,4,0,1.9,65.7,1.9,0,6.55,0.5,0.1,0.3,0.0,0.5,0.3,0.1,0,0.1,0.4,0.7,0.3,0.3,7.5,65.7,0.0,0.1,0.0,0.38095238095238093
271,Rafa Mir,Sevilla,26,FW,26,1300,6,0,1,0,1.9,69.3,1.4,1,6.39,0.3,0.2,0.9,0.1,0.4,0.1,0.0,0,0.0,0.4,0.7,0.5,0.5,9.8,69.3,0.0,0.1,0.0,0.38095238095238093
272,El Bilal Touré,Almeria,22,FW,21,1275,7,2,0,0,1.4,71.8,2.1,2,6.7,0.2,0.0,1.2,0.0,1.0,0.1,0.0,0,0.3,0.3,0.6,0.4,0.4,12.0,71.8,0.1,0.0,0.0,0.25396825396825395
273,Dyego Sousa,Almeria,34,FW,20,516,0,1,1,0,0.7,68.2,1.4,0,6.28,0.5,0.1,0.5,0.0,0.7,0.1,0.1,0,0.3,0.6,0.2,0.6,0.6,7.9,68.2,0.0,0.1,0.1,0.25396825396825395
274,Gorka Guruzeta,Athletic Club,27,FW,30,1421,6,1,2,0,1.7,73.4,1.0,2,6.52,0.8,0.1,0.9,0.0,0.2,0.4,0.1,0,0.3,0.5,0.5,0.7,0.7,12.8,73.4,0.0,0.6,0.0,0.4126984126984127
275,Ante Budimir,Osasuna,32,FW,31,1811,8,0,5,0,1.9,61.9,3.2,2,6.7,0.6,0.2,1.5,0.1,0.6,0.3,0.0,0,0.5,0.7,0.4,0.9,0.9,10.0,61.9,0.0,0.0,0.0,0.4444444444444444
276,Kike García,Osasuna,34,FW,35,999,2,0,5,0,1.2,70.9,1.3,0,6.23,0.2,0.0,0.7,0.0,0.4,0.1,0.0,0,0.3,0.7,0.2,0.5,0.5,6.7,70.9,0.0,0.0,0.0,0.4444444444444444
277,Sergio León,Real Valladolid,35,FW,29,1332,6,1,0,1,1.0,70.3,0.6,1,6.28,0.2,0.0,0.3,0.0,0.1,0.1,0.0,0,0.3,0.8,0.7,0.6,0.6,6.6,70.3,0.0,0.3,0.0,0.23809523809523808
278,Rachid Alioui,Nimes,31,FW,27,1239,5,0,1,0,1.9,72.3,1.6,0,6.61,0.6,0.4,0.4,0.0,0.4,0.2,0.0,0,0.3,0.4,0.2,0.4,0.4,13.2,72.3,0.1,0.3,0.0,0.40625
279,Baptiste Guillaume,Nimes,28,FW,24,1189,2,1,4,0,0.7,62.6,3.7,0,6.52,0.5,0.1,1.0,0.0,0.2,0.3,0.0,0,0.4,0.9,0.1,0.8,0.8,11.6,62.6,0.0,0.1,0.0,0.40625
280,Umut Bozok,Nimes,27,FW,25,1241,2,3,1,0,1.2,75.4,0.8,0,6.4,0.4,0.2,0.6,0.0,0.0,0.1,0.0,0,0.5,1.2,0.4,1.4,1.4,11.4,75.4,0.0,0.4,0.0,0.40625
281,Moussa Dembélé,Lyon,27,FW,33,2017,15,4,1,0,2.7,74.6,1.5,1,6.95,0.4,0.1,1.1,0.0,0.4,0.3,0.1,0,0.8,0.4,0.5,1.2,1.2,12.2,74.6,0.2,0.2,0.0,0.703125
282,Stéphane Bahoken,Angers,31,FW,32,2493,11,1,3,0,2.1,73.4,1.2,0,6.57,0.5,0.3,1.7,0.0,0.2,0.6,0.1,0,0.2,1.1,0.9,1.8,1.8,13.9,73.4,0.1,0.2,0.0,0.296875
283,Wilfried Kanga,Angers,26,FW,18,483,2,0,3,0,1.0,68.6,0.6,1,6.24,0.0,0.0,0.6,0.0,0.1,0.1,0.0,0,0.2,0.3,0.0,0.4,0.4,4.8,68.6,0.1,0.1,0.0,0.296875
284,Cristian López,Angers,35,FW,19,359,2,0,2,0,0.6,67.7,0.9,0,6.17,0.3,0.1,0.6,0.0,0.1,0.4,0.0,0,0.1,0.7,0.1,0.4,0.4,5.2,67.7,0.0,0.0,0.0,0.296875
285,Petar Skuletic,Montpellier,33,FW,28,581,1,1,0,0,1.2,69.2,1.7,1,6.33,0.3,0.1,0.6,0.0,0.5,0.5,0.0,0,0.3,0.3,0.1,0.3,0.3,5.7,69.2,0.0,0.1,0.0,0.5
