,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
172,Granit Xhaka,Arsenal,31," D(L),M(C)",27,2331,1,2,10,1,1,86.8,1,1,6.67
173,Jack Harrison,Leeds,27," AM(CLR),FW",32(3),2652,8,1,3,-,1.2,70.5,0.5,3,6.67
174,Joachim Andersen,Crystal Palace,27, D(C),32(2),2915,-,3,4,-,0.2,81.6,1.6,-,6.66
175,Raúl Jiménez,Wolves,32, FW,30(4),2640,6,4,5,2,1.7,71.8,1.9,1,6.66
176,Michael Olise,Crystal Palace,22, AM(CLR),12(14),1138,2,5,4,-,0.7,81.4,0.3,1,6.66
177,Odsonne Édouard,Crystal Palace,26," AM(L),FW",18(10),1567,6,3,4,-,1.4,73.7,1.4,-,6.66
178,Jadon Sancho,Man Utd,24, AM(CLR),20(9),1904,3,3,-,-,0.9,83.5,0.1,1,6.66
179,Christian Benteke,Crystal Palace,33, FW,11(14),1136,4,1,3,-,1.6,64.4,3.4,3,6.66
180,Édouard Mendy,Chelsea,32, GK,34,3060,-,-,3,-,-,82,0.3,1,6.65
181,Ben Johnson,West Ham,24," D(CLR),M(LR)",16(4),1401,1,-,1,-,0.3,70.8,0.8,-,6.65
182,Martin Dúbravka,Newcastle,35, GK,26,2340,-,-,1,-,-,59.4,0.2,1,6.65
183,Aaron Ramsdale,Arsenal,25, GK,34,3060,-,-,1,-,-,62.6,0.2,2,6.65
184,Jonjo Shelvey,Newcastle,32, M(C),22(1),1962,2,1,5,-,1.3,81.2,0.4,1,6.65
185,Manuel Lanzini,West Ham,31, M(CLR),19(11),1789,5,3,2,-,0.5,91.9,0.2,1,6.65
186,Harry Maguire,Man Utd,31, D(C),28(2),2514,1,-,7,1,0.8,86.4,2.5,-,6.65
187,Danny Ings,Aston Villa,31," AM(C),FW",22(8),1906,7,6,4,-,1.6,69.3,0.9,2,6.65
188,Jean-Philippe Mateta,Crystal Palace,26, FW,13(9),1152,5,1,2,-,1.7,67.8,1.8,1,6.64
189,David de Gea,Man Utd,33, GK,38,3420,-,-,-,-,-,68.9,0.2,1,6.64
190,Ademola Lookman,Leicester,26," AM(CLR),FW",16(10),1459,6,-,2,-,1,78.3,0.1,1,6.64
191,Conor Coady,Wolves,31," D(CR),DMC",38,3364,4,-,5,-,0.3,89.7,0.8,-,6.64
192,Luke Shaw,Man Utd,28," D(CL),M(L)",19(1),1603,-,3,8,-,0.3,84.1,1,-,6.64
193,Robert Sánchez,Brighton,26, GK,37,3330,-,-,4,1,-,67.4,0.5,-,6.63
194,Nemanja Matic,Man Utd,35, DMC,16(7),1384,-,4,3,-,0.3,87.1,1.2,-,6.63
195,Emiliano Martínez,Aston Villa,31, GK,36,3240,-,-,4,-,-,70.4,0.3,-,6.63
196,Juraj Kucka,Watford,37, M(CLR),22(4),1924,1,1,3,1,1.8,68.7,2.2,1,6.63
197,Wout Weghorst,Burnley,31, FW,17(3),1457,2,3,3,-,1.5,64.3,2.8,-,6.62
198,Mohamed Elyounoussi,Southampton,29," AM(CLR),FW",23(7),2046,4,2,4,-,1.4,70.7,1.3,-,6.62
199,Séamus Coleman,Everton,35," D(CR),M(R)",30,2658,1,-,4,-,0.3,74.2,0.8,1,6.61
200,Illan Meslier,Leeds,24, GK,38,3385,-,-,2,-,-,69,0.4,-,6.61
201,Connor Roberts,Burnley,28," D(LR),M(R)",19(2),1693,1,1,2,-,0.3,72.9,0.6,-,6.61
202,Jordan Pickford,Everton,30, GK,35,3150,-,-,2,-,-,48.1,0.3,3,6.60
203,Eddie Nketiah,Arsenal,24, FW,8(13),825,5,1,3,-,1.4,77.7,0.4,2,6.60
204,James Milner,Liverpool,38," D(LR),M(CLR)",9(15),851,-,1,2,-,0.4,86,0.5,-,6.60
205,Nathan Redmond,Southampton,30," AM(CLR),FW",20(7),1834,1,5,-,-,1,73.1,0.5,1,6.60
206,Armando Broja,Southampton,22, FW,21(11),1981,6,-,2,-,1.4,61.4,2.8,1,6.59
207,Joe Willock,Newcastle,24, M(C),24(5),2015,2,-,-,-,1.2,81.4,0.6,1,6.59
208,Solly March,Brighton,29, M(CLR),17(14),1739,-,2,1,-,0.6,77.4,0.5,-,6.59
209,Emil Krafth,Newcastle,29, D(CR),18(2),1638,-,1,5,-,0.3,73.3,1.1,-,6.59
210,Matthew Lowton,Burnley,34," D(LR),M(R)",20(5),1772,1,2,3,1,0.4,67.4,1,-,6.59
211,Diego Llorente,Leeds,30," D(C),DMC",28,2344,3,-,7,-,0.4,81.4,1.8,1,6.58
212,Ismaïla Sarr,Watford,26," AM(CLR),FW",21(1),1865,5,2,2,-,1.8,77.5,0.5,1,6.58
213,Alex Iwobi,Everton,28, M(CLR),22(6),2037,2,2,1,-,0.9,79.6,0.3,1,6.58
214,Trincão,Wolves,24, AM(CLR),16(12),1340,2,1,-,-,1.1,80.8,0.2,1,6.58
215,Rodrigo,Leeds,33," M(CLR),FW",27(4),2275,6,1,9,-,1.5,75.5,0.5,1,6.57
216,Vladimír Coufal,West Ham,31," D(R),M(R)",25(3),2211,-,4,3,1,0.4,71.4,1.2,-,6.57
217,Kalvin Phillips,Leeds,28," D(C),DMC",18(2),1596,-,1,4,-,0.8,82,0.9,-,6.56
218,Anthony Elanga,Man Utd,22," AM(LR),FW",14(7),1217,2,2,-,-,1,78.2,1.1,-,6.56
219,Mathias Normann,Norwich,27, M(C),20(3),1653,1,2,6,-,1.1,71.8,1.2,1,6.56
220,Imrân Louza,Watford,25, M(CLR),17(3),1423,-,-,6,-,0.9,77.5,0.6,-,6.54
221,Brandon Williams,Norwich,23," D(LR),M(L)",23(3),2123,-,1,8,-,0.2,81.8,0.5,-,6.54
