,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
274,Pedro León,1,2,0.8,0.6,0.4,0.2,0.3,0.3
275,Martín Aguirregabiria,-,1,0.1,0.1,0.9,-,0.2,0.2
276,Óscar Rodríguez,-,-,0.5,0.6,0.6,-,0.4,0.4
277,Iván Marcone,-,-,0.1,0.4,0.6,-,0.4,0.4
278,Sergi Guardiola,1,2,1.2,0.9,1.4,0.4,1.4,1.4
279,William Carvalho,2,-,0.6,0.7,0.4,-,0.4,0.4
280,Fran Beltrán,3,-,0.6,0.3,0.3,-,0.4,0.4
281,Asier Villalibre,4,2,1.1,0.1,0.9,0.2,0.8,0.8
282,Jony,-,2,0.5,0.8,0.4,-,0.7,0.7
283,Takashi Inui,1,-,1.3,0.9,0.6,0.3,0.8,0.8
284,Francis Coquelin,-,-,0.2,0.5,0.7,-,0.3,0.3
285,Unai Vencedor,-,-,0.3,0.3,0.8,-,0.4,0.4
286,Erick Cabaco,-,-,0.3,-,1,0.1,-,-
287,Sergio Álvarez,-,-,0.2,0.3,0.6,-,0.4,0.4
288,Pere Pons,2,-,0.4,0.4,0.8,-,0.6,0.6
289,Deyverson,1,3,0.5,0.3,0.9,0.4,0.4,0.4
290,Manu Vallejo,5,-,0.6,0.3,0.7,0.1,0.4,0.4
291,Martin Braithwaite,2,2,0.8,0.3,0.7,0.5,0.6,0.6
292,Fede San Emeterio,-,-,0.1,0.1,0.7,-,0.2,0.2
293,Yunus Musah,1,-,0.2,1,0.9,0.1,0.6,0.6
294,Salvi Sánchez,2,-,0.6,0.4,1,0.3,0.8,0.8
295,Geoffrey Kondogbia,-,-,0.2,0.4,0.5,-,0.1,0.1
296,Iván Alejo,1,1,0.6,0.6,1,0.2,0.6,0.6
297,Unai Simón,-,-,-,-,0.1,-,-,-
298,David Timor,-,-,0.6,0.1,0.5,-,0.1,0.1
299,Yoshinori Muto,1,1,0.8,0.6,0.6,0.3,1.1,1.1
300,Jaime Mata,5,-,1.2,0.1,1.1,0.8,0.6,0.6
301,Luis Pérez,-,-,0.1,0.2,0.7,-,0.1,0.1
302,Álex Pozo,-,-,0.4,0.5,0.6,0.1,0.3,0.3
303,Roberto Soldado,9,-,1,0.1,0.4,0.7,0.3,0.3
304,Son,-,-,0.3,0.4,0.5,-,0.3,0.3
305,Lucas Torreira,1,-,0.2,0.1,0.7,0.1,0.2,0.2
306,Míchel Herrero,2,-,0.5,0.4,0.5,-,0.3,0.3
