,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
170,Federico Chiesa,Juventus,26," M(CLR),FW",6(15),843,2,5,2,-,1.2,78.5,-,1,6.59
171,Alexis Saelemaekers,AC Milan,24, M(LR),14(16),1399,2,3,1,-,1.2,81.3,0.3,1,6.59
172,Pierre Kalulu,AC Milan,23, D(CR),26(8),2544,1,-,4,-,0.3,88.7,1.1,1,6.59
173,Andrea Cambiaso,Bologna,24," D(LR),M(LR)",25(7),2172,-,3,2,-,0.5,85.7,0.1,1,6.59
174,Juan Musso,Atalanta,29, GK,24,2078,-,-,1,-,-,65.9,-,-,6.58
175,Bartlomiej Dragowski,Spezia,26, GK,34,2948,-,1,1,-,-,64.3,0.3,6,6.58
176,Jonathan Ikoné,Fiorentina,26," AM(CLR),FW",24(9),2012,4,4,4,-,1.5,84.1,0.4,1,6.58
177,Jean-Daniel Akpa Akpro,Empoli,31," D(R),M(CLR)",16(8),1364,1,1,7,2,0.6,76.3,0.7,1,6.58
178,Vanja Milinkovic-Savic,Torino,27, GK,38,3420,-,-,4,-,-,57.9,0.3,1,6.58
179,Frank Tsadjout,Cremonese,24, FW,14(6),1057,3,1,1,-,1.3,69.4,3,1,6.58
180,Remi Oudin,Lecce,27," M(CLR),FW",12(19),1315,3,-,3,-,1.2,70,0.4,1,6.58
181,Aleksa Terzic,Fiorentina,24, D(L),8(14),929,1,1,2,-,0.5,85.9,0.3,-,6.58
182,Merih Demiral,Atalanta,26, D(C),14(14),1525,1,-,5,-,0.2,85.8,1.9,1,6.57
183,Pawel Dawidowicz,Verona,28, D(C),20(3),1636,1,1,6,1,0.5,76.6,1.9,-,6.57
184,Matheus Henrique,Sassuolo,26, M(C),21(9),1951,4,1,4,-,0.8,86.9,0.4,-,6.57
185,Lorenzo Pirola,Salernitana,22, D(C),23(3),1949,2,-,4,-,0.5,80.6,1.8,2,6.56
186,Manolo Gabbiadini,Sampdoria,32," AM(CLR),FW",27(8),2369,7,2,6,-,2.1,70.9,1.3,2,6.56
187,Manuel Lazzari,Lazio,30," D(R),M(R)",23(6),1888,-,-,9,-,0.2,89.5,0.3,-,6.56
188,Marco Silvestri,Udinese,33, GK,38,3420,-,-,-,-,-,75,0.3,-,6.55
189,Luka Lochoshvili,Cremonese,25, D(C),22(3),1850,1,2,4,-,0.3,79.9,1.5,-,6.55
190,Rogério,Sassuolo,26," D(L),M(L)",34(2),2999,-,3,5,1,0.4,83,0.6,2,6.55
191,Leonardo Spinazzola,Roma,31," D(LR),M(L)",18(8),1656,1,4,3,-,0.4,77.1,0.3,2,6.55
192,Filippo Bandinelli,Empoli,29, M(C),28(7),2284,2,-,10,-,0.7,78.4,0.3,1,6.55
193,Tommaso Baldanzi,Empoli,21, AM(CR),24(2),1789,4,-,2,-,1.3,85.5,0.1,1,6.55
194,Isaac Success,Udinese,28," AM(LR),FW",21(9),1821,1,6,4,-,1.2,67.5,1.3,-,6.54
195,Andrea Colpani,Monza,24, AM(CR),10(17),944,4,1,1,-,0.9,83.2,0.2,-,6.54
196,Matías Vecino,Lazio,32, M(C),17(15),1685,2,-,6,-,0.8,85.9,1,1,6.54
197,Francesco Caputo,Empoli,36, FW,20(1),1719,5,4,1,-,2,71.9,0.8,-,6.54
198,Charalampos Lykogiannis,Bologna,30," D(CL),M(L)",11(10),1105,2,-,3,-,0.9,75.3,0.9,-,6.53
199,Flavius Daniliuc,Salernitana,23, D(CR),23(4),2195,-,2,10,-,0.4,86.1,1.4,-,6.53
200,Kevin Agudelo,Spezia,25," AM(CR),FW",23(11),2140,-,1,5,-,0.8,75.5,0.5,1,6.53
201,Elseid Hysaj,Lazio,30," D(LR),M(R)",22(12),1992,1,1,3,-,0.1,85.4,0.7,-,6.53
202,Antonino Gallo,Lecce,24, D(L),28(4),2486,-,1,3,1,0.3,69.3,0.8,-,6.53
